naf2,count,active,employees
1,0.09426286764197907,0.05178845564378171,0.010226267365195732
2,0.006834166904369255,0.0020757099958409486,0.000839488725228923
3,0.0021202866186594434,0.0019396187154763767,0.0007358009536539456
5,6.14086342381998e-07,,0.0
6,1.3663421117999455e-05,4.451583937158897e-06,1.1241897893925985e-05
7,3.607757261494238e-05,3.052514699766101e-05,2.10972950476011e-05
8,0.0003203995491378074,0.0005914247230796821,0.0008148877053377149
9,1.6887374415504944e-05,2.2893860248245758e-05,5.431710332415239e-05
10,0.009905366224207223,0.024029014152221275,0.024144748728686556
11,0.0008459039366312021,0.0013666362687077816,0.0021655455278034525
12,3.6845180542919876e-06,5.087524499610169e-06,3.185204403279029e-05
13,0.001687048704108944,0.0011084444003525654,0.0013630988561350156
14,0.0038645988741955084,0.0010874583617916736,0.001235484578542466
15,0.0007066598584960841,0.00047123195677639185,0.0012820447723198092
16,0.002218847476611754,0.0025418544281177306,0.0023774927760969373
17,0.00039669977717877064,0.0006257655134520508,0.002443126723300975
18,0.003380698836398494,0.0028655481744054275,0.0018447392349037845
19,6.908471351797476e-06,1.7170395186184317e-05,0.0003397114178579534
20,0.0007688361006622615,0.0013291157755231564,0.006002798745426679
21,6.524667387808728e-05,0.0001799711791737097,0.003252993047579403
22,0.0007028218188561967,0.0018226056519853428,0.005367312993979532
23,0.0018660548729132961,0.0020280144536571035,0.003981636659574216
24,0.0002064865326259468,0.0004661444322767817,0.0028054530924222095
25,0.003980814714491301,0.00886564738113317,0.01183204132386763
26,0.00057785524818146,0.0011039928164154065,0.005237019397388931
27,0.0004971028941582273,0.0009965188613611418,0.004228714838786219
28,0.0009315689813934909,0.0023237268151969446,0.006981649531547304
29,0.0003873349604574452,0.000922113815554343,0.00644927072028395
30,0.00024732327439434967,0.0004089097816561673,0.006953113847393222
31,0.002383883181126916,0.0017062285290567602,0.0015086439608683773
32,0.005354986427156617,0.003718980409215033,0.0029733133644750144
33,0.004750111379910349,0.007692337043410575,0.007355161589072995
35,0.004106241849922825,0.0009634499521136757,0.005012481223454249
36,0.0002812515448109551,0.0008578838187467647,0.0017659147941708735
37,0.0002669740373505736,0.0006155904644528304,0.0006400199835976963
38,0.002029555361572503,0.0020159315829705294,0.004549633550664826
39,0.00011452710285424262,0.000272182560729144,0.00036775995310329876
41,0.010595445751458992,0.011052646975403091,0.0063657246824355895
42,0.0012765319842265783,0.0028687278772176836,0.0076989013536762725
43,0.10056139773420562,0.12011263779242137,0.04978727425027736
45,0.02298340953633104,0.03322980220976627,0.017101474860184047
46,0.03762061807176274,0.043750802874960096,0.043659596755745655
47,0.08983484454864807,0.11105748012367772,0.07408594329762826
49,0.02178762990612769,0.02325952607165524,0.02810273992969055
50,0.00040023077364746717,0.0005291025479594575,0.0006515054559459906
51,0.00018668224808412738,0.0001538976161132076,0.0014350844756491218
52,0.0021978150193851707,0.003900859410076097,0.012988945036131554
53,0.013676623974360667,0.0003128827567260254,0.0014253414974743858
55,0.00927408546423853,0.01387367931043693,0.008015941610781474
56,0.045452368239331555,0.08207448898996104,0.03392806658036512
58,0.004772986096164079,0.004199115533865743,0.006011473743301491
59,0.006794711856871211,0.004425510374098395,0.0020438894560946834
60,0.00020095975554450883,0.000506844628273663,0.001341458202689208
61,0.0009547507408184113,0.0012769686494021523,0.003218030745129293
62,0.02004592751754675,0.015620608035490572,0.018881779283659146
63,0.0026244515057550636,0.0020324660375942625,0.0028485657708454157
64,0.01878612938615008,0.018460082646835498,0.021287433013980367
65,0.0003834969208175577,0.0005252869045847499,0.009058309120002783
66,0.012519992348484174,0.01229845453724513,0.006909083080642012
68,0.04049945484484955,0.02510693340557618,0.010795781912502023
69,0.01813565842798195,0.020921808564084366,0.012231803212975638
70,0.0475760323328741,0.027892989009675198,0.015290948467870777
71,0.019389776260711585,0.02404618454740746,0.01726504447454067
72,0.0014503184191206836,0.0016890581338705759,0.0064639976065249925
73,0.00554151515365515,0.005069718163861533,0.005554640485885319
74,0.024059749372941083,0.007015060344399971,0.002355664757686231
75,0.00180725610563022,0.002984469059583815,0.0010532908866749053
77,0.005580356114810811,0.004473841856844692,0.005204380420503566
78,0.0018201519188202418,0.005624258334319041,0.0061352657756101065
79,0.0021172161869475333,0.002733908477978014,0.0016711455949250775
80,0.0025337202486681236,0.003052514699766101,0.00851646837801204
81,0.0215656376933566,0.01891732391123796,0.0269965933864177
82,0.01564277492108223,0.00987679287543069,0.011053390002741336
84,0.007352916342096448,0.027586465658573686,0.14111791418725828
85,0.03548559338088613,0.0258166430732718,0.059211319781762535
86,0.07831535237348977,0.039418139822979585,0.07198953544187245
87,0.0009926705724604998,0.0036305846710343063,0.024997165636493495
88,0.0052708565982502835,0.01417956672097599,0.04119844552282142
90,0.011746857643425238,0.007218561324384378,0.0029841805324391426
91,0.00031333755620041446,0.0007675802588786841,0.0015588015619717771
92,0.00011744401298055711,0.00021240414785872453,0.0006668319100747097
93,0.016579717157971564,0.023942526235727905,0.008639080011041793
94,0.0066391944906629705,0.0238655774276713,0.012449202781747676
95,0.007703252600425378,0.0034226321071127407,0.0014149427419225043
96,0.04269174308715328,0.036151949094229856,0.009141724002375713
